Country,Year,ETS information,Main Activity Sector Name,Emissions Unit,ETS Information
EU27 + UK,2010,2. Verified emissions,10 Aviation,t CO2-eq,0
EU27 + UK,2011,2. Verified emissions,10 Aviation,t CO2-eq,0
EU27 + UK,2012,1.1 Freely allocated allowances,10 Aviation,t CO2-eq,172 313 213.000
EU27 + UK,2012,2. Verified emissions,10 Aviation,t CO2-eq,81 644 018.000
EU27 + UK,2013,1.1 Freely allocated allowances,10 Aviation,t CO2-eq,31 045 078.000
EU27 + UK,2013,2. Verified emissions,10 Aviation,t CO2-eq,51 019 141.000
EU27 + UK,2014,1.1 Freely allocated allowances,10 Aviation,t CO2-eq,30 981 090.000
EU27 + UK,2014,2. Verified emissions,10 Aviation,t CO2-eq,52 020 623.000
EU27 + UK,2015,1.1 Freely allocated allowances,10 Aviation,t CO2-eq,30 625 167.000
EU27 + UK,2015,2. Verified emissions,10 Aviation,t CO2-eq,54 313 368.000
EU27 + UK,2016,1.1 Freely allocated allowances,10 Aviation,t CO2-eq,30 498 871.000
EU27 + UK,2016,2. Verified emissions,10 Aviation,t CO2-eq,59 160 541.000
EU27 + UK,2017,1.1 Freely allocated allowances,10 Aviation,t CO2-eq,31 403 810.000
EU27 + UK,2017,2. Verified emissions,10 Aviation,t CO2-eq,62 143 223.000
EU27 + UK,2018,1.1 Freely allocated allowances,10 Aviation,t CO2-eq,29 339 305.000
EU27 + UK,2018,2. Verified emissions,10 Aviation,t CO2-eq,65 153 008.000
EU27 + UK,2019,1.1 Freely allocated allowances,10 Aviation,t CO2-eq,29 039 066.000
EU27 + UK,2019,2. Verified emissions,10 Aviation,t CO2-eq,66 006 062.000
EU27 + UK,2020,1.1 Freely allocated allowances,10 Aviation,t CO2-eq,29 382 179.000
EU27 + UK,2020,2. Verified emissions,10 Aviation,t CO2-eq,24 481 061.000
EU27 + UK,2021,1.1 Freely allocated allowances,10 Aviation,t CO2-eq,22 910 183.000
EU27 + UK,2021,2. Verified emissions,10 Aviation,t CO2-eq,26 934 287.000
